City,lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Saskylakh,71.9167,114.0833,-4.68,99,100,6.58,RU,1635413685
Acapulco de Juárez,16.8634,-99.8901,77.34,89,58,3.06,MX,1635413971
Basse,52.5518,9.5069,60.26,80,40,8.05,DE,1635413972
Nikolskoye,59.7035,30.7861,47.88,83,97,3.51,RU,1635413972
Hamilton,39.1834,-84.5333,50.99,90,90,1.99,US,1635413973
Vardø,70.3705,31.1107,33.78,64,20,19.57,NO,1635413973
Mocuba,-16.8392,36.9856,89.51,32,60,7.11,MZ,1635413973
Oodweyne,9.4092,45.064,83.68,21,6,10.78,SO,1635413974
Carnarvon,-24.8667,113.6333,71.67,49,0,23.02,AU,1635413974
Bambous Virieux,-20.3428,57.7575,80.85,61,40,20.71,MU,1635413975
Kushmurun,52.4503,64.6311,47.03,31,94,21.54,KZ,1635413975
Bay Roberts,47.5999,-53.2648,40.33,82,100,15.99,CA,1635413975
Cap Malheureux,-19.9842,57.6142,81.09,63,14,11.99,MU,1635413976
Ancud,-41.8697,-73.8203,45.93,96,36,3.24,CL,1635413976
Ahipara,-35.1667,173.1667,59.22,94,39,4.65,NZ,1635413976
Kutum,14.2,24.6667,85.48,13,7,5.3,SD,1635413976
Linguère,15.3953,-15.1193,86.22,51,0,4.61,SN,1635413977
Robertson,36.5167,-86.8667,60.73,77,20,10.36,US,1635413938
Meulaboh,4.1363,96.1285,82.08,76,92,4.09,ID,1635413977
Siguiri,11.6667,-9.5,84.6,62,95,2.95,GN,1635413977
Allāpalli,19.4167,80.0667,86.23,51,47,5.06,IN,1635413978
Sungai Raya,0.7,108.9,81.28,80,99,5.88,ID,1635413978
Bayangol,50.6977,103.4656,31.32,83,95,4.41,RU,1635413978
Severomuysk,56.1481,113.4267,17.78,93,92,5.35,RU,1635413979
Hobyo,5.3505,48.5268,83.59,62,25,9.51,SO,1635413979
Kenai,60.5544,-151.2583,31.14,87,1,8.05,US,1635413979
Port Hedland,-20.3167,118.5667,86.05,42,4,16.11,AU,1635413980
East London,-33.0153,27.9116,72.54,73,0,12.66,ZA,1635413693
Bilma,18.6853,12.9164,94.24,11,23,8.7,NE,1635413980
Baculin,7.4525,126.5842,80.33,84,36,1.79,PH,1635413980
Saint-Philippe,-21.3585,55.7679,80.19,72,50,10.27,RE,1635413981
Dawei,14.0833,98.2,82.04,81,93,3.27,MM,1635413845
Namatanai,-3.6667,152.4333,81.79,78,97,7.34,PG,1635413981
Bengkulu,-3.8004,102.2655,81.14,76,100,4.54,ID,1635413707
George Town,5.4112,100.3354,89.55,72,20,1.01,MY,1635413726
Warrnambool,-38.3833,142.4833,56.8,95,100,16.73,AU,1635413982
Aljezur,37.3191,-8.8033,69.26,55,0,4.92,PT,1635413982
Aksu,41.1231,80.2644,59.36,27,97,1.92,CN,1635413983
Upernavik,72.7868,-56.1549,19.09,68,32,5.21,GL,1635413740
Ribeira Grande,38.5167,-28.7,66.6,77,75,9.22,PT,1635413983
Bethel,41.3712,-73.414,51.66,88,75,3.44,US,1635413983
Dakar,14.6937,-17.4441,83.28,65,58,6.91,SN,1635413984
Esperance,-33.8667,121.9,53.44,72,75,13.42,AU,1635413984
Angoram,-4.0625,144.0661,75.9,96,100,2.21,PG,1635413985
Douglas,41.3,-96.167,51.1,92,90,5.99,US,1635413985
Saryozek,44.3583,77.9753,53.33,54,100,4.56,KZ,1635413985
Acaraú,-2.8856,-40.12,81.7,70,18,18.5,BR,1635413986
Rapid Valley,44.0625,-103.1463,49.37,40,1,3.0,US,1635413986
Paraíso,9.8383,-83.8656,63.88,88,95,1.95,CR,1635413987
Nara,34.6851,135.8049,67.28,44,0,5.39,JP,1635413987
Eucaliptus,-17.5833,-67.5167,42.78,70,2,7.76,BO,1635413987
Chui,-33.6971,-53.4616,65.28,84,3,4.81,UY,1635413988
Guerrero Negro,27.9769,-114.0611,66.33,57,0,1.32,MX,1635413988
Huamachuco,-7.8,-78.0667,47.41,92,59,4.52,PE,1635413988
Banjar,-8.19,114.9675,84.06,86,84,2.73,ID,1635413989
Cap-aux-Meules,47.3821,-61.8597,44.65,76,75,20.71,CA,1635413989
Iqaluit,63.7506,-68.5145,31.73,80,75,4.0,CA,1635413989
Bilgi,16.35,75.6167,85.77,30,36,10.42,IN,1635413990
Cabo San Lucas,22.8909,-109.9124,77.5,79,3,4.94,MX,1635413990
Deputatsky,69.3,139.9,-2.92,99,100,1.57,RU,1635413990
Oyama,36.3,139.8,70.59,54,27,6.31,JP,1635413707
Zholymbet,51.7433,71.7122,42.46,27,57,18.01,KZ,1635413991
Were Īlu,10.6,39.4333,65.32,34,42,11.07,ET,1635413991
Dingle,10.9995,122.6711,77.58,89,100,6.44,PH,1635413991
Katsuura,35.1333,140.3,68.14,70,0,18.25,JP,1635413701
La Rioja,42.25,-2.5,45.48,41,100,3.33,ES,1635413992
Camacha,33.0833,-16.3333,69.53,64,20,10.36,PT,1635413992
Chumikan,54.7183,135.315,39.79,70,21,18.1,RU,1635413992
Mānsa,29.9833,75.3833,85.96,18,0,5.77,IN,1635413993
Great Yarmouth,52.6083,1.7305,60.24,77,91,21.0,GB,1635413993
Ikwiriri,-7.9562,38.9716,88.02,46,88,3.11,TZ,1635413993
Boa Vista,2.8197,-60.6733,76.98,88,75,2.3,BR,1635413994
Husavik,66.0449,-17.3389,31.91,88,97,6.11,IS,1635413994
Tura,25.5198,90.2201,78.22,76,8,3.89,IN,1635413994
Honiara,-9.4333,159.95,79.32,87,63,5.06,SB,1635413995
Kpandu,6.9954,0.2931,82.8,70,19,4.65,GH,1635413995
Panalingaan,8.7842,117.4231,76.84,91,100,5.5,PH,1635413995
Airai,-8.9266,125.4092,66.88,85,100,1.39,TL,1635413738
Bereda,43.2686,-7.5406,57.15,70,63,5.39,ES,1635413996
Olean,42.0776,-78.4297,42.26,94,2,2.21,US,1635413996
Kiryat Gat,31.61,34.7642,85.91,23,29,5.99,IL,1635413844
Sobolevo,54.4299,31.8996,55.06,71,34,15.84,RU,1635413996
Ayan,56.45,138.1667,37.33,72,76,4.72,RU,1635413997
Dumai,1.6833,101.45,82.17,87,82,1.68,ID,1635413875
Camaná,-16.6228,-72.7111,63.09,85,13,6.98,PE,1635413997
Kapaa,22.0752,-159.319,75.18,97,75,4.61,US,1635413980
Saint-Augustin,51.226,-58.6502,34.18,81,0,7.11,CA,1635413998
Batagay-Alyta,67.8006,130.4114,3.58,97,100,3.22,RU,1635413998
Malindi,-3.2175,40.1191,86.16,62,40,11.5,KE,1635413998
Severnyy,50.677,36.5532,46.44,71,75,11.18,RU,1635413877
Baoqing,46.3317,132.2111,41.85,59,1,5.23,CN,1635413999
Mehamn,71.0357,27.8492,30.38,69,0,17.27,NO,1635413999
Oussouye,12.485,-16.5469,77.18,90,67,6.55,SN,1635413999
Mildura,-34.2,142.15,84.16,30,90,26.46,AU,1635414000
Constitución,-35.3333,-72.4167,53.85,62,0,7.45,CL,1635413995
Clifton Springs,-38.15,144.5667,63.18,93,100,4.0,AU,1635414000
Cabadiangan,9.7531,122.4739,79.52,86,99,3.44,PH,1635414001
Saint-Pierre,-21.3393,55.4781,80.28,61,20,10.36,RE,1635414002
Biltine,14.5333,20.9167,96.53,10,5,10.78,TD,1635414002
Mossamedes,-15.1961,12.1522,74.03,64,20,11.5,AO,1635414003
Usakos,-22.0,15.6,90.77,27,8,7.94,NA,1635414004
Kavaratti,10.5669,72.642,80.2,78,100,5.35,IN,1635413775
Laguna,38.421,-121.4238,61.34,92,1,0.0,US,1635414005
Necochea,-38.5473,-58.7368,67.03,63,83,11.34,AR,1635414006
Codrington,-38.2667,141.9667,54.55,97,99,12.21,AU,1635413748
Salalah,17.0151,54.0924,84.29,65,0,10.36,OM,1635414006
Nantucket,41.2835,-70.0995,51.15,87,100,36.13,US,1635414007
Bichura,50.5881,107.6022,39.29,75,51,6.71,RU,1635414007
Nome,64.5011,-165.4064,15.87,79,90,4.61,US,1635414008
Stratoni,40.5141,23.8247,64.42,58,0,5.21,GR,1635414008
Saint George,37.1041,-113.5841,57.34,68,1,0.0,US,1635414008
Half Moon Bay,37.4636,-122.4286,63.63,91,90,4.61,US,1635413776
Conde,-7.2597,-34.9075,72.86,94,40,4.61,BR,1635414009
Quatre Cocos,-20.2078,57.7625,80.71,60,5,11.39,MU,1635413819
Wenatchee,47.4235,-120.3103,48.6,85,90,6.91,US,1635414009
Selkirk,50.1436,-96.8845,46.04,99,100,4.83,CA,1635414009
Shevchenkove,49.6959,37.1735,51.58,54,97,13.56,UA,1635414010
Litovko,49.2361,135.1742,41.68,69,10,4.47,RU,1635414010
Sapa,5.1544,120.3241,82.62,74,93,7.25,PH,1635414010
Bilibino,68.0546,166.4372,-19.97,99,17,3.51,RU,1635414011
Comodoro Rivadavia,-45.8667,-67.5,57.06,44,0,11.5,AR,1635414011
Boissevain,49.2306,-100.0559,37.9,78,0,9.04,CA,1635414011
Shimoda,34.6667,138.95,63.1,73,12,9.82,JP,1635414012
Lagos,6.5833,3.75,84.52,68,74,4.32,NG,1635413900
Vanavara,60.34,102.2797,24.15,56,96,11.45,RU,1635414012
Mogadishu,2.0371,45.3438,87.67,79,75,13.8,SO,1635414012
Krasnosel'kup,65.7,82.4667,7.88,96,99,8.7,RU,1635413716
Khani,41.9563,42.9566,53.17,54,0,4.34,GE,1635414013
Alakurtti,66.9672,30.3491,24.64,88,100,10.63,RU,1635414013
Zhigansk,66.7697,123.3711,20.75,86,100,14.97,RU,1635414013
Warwick,41.7001,-71.4162,48.58,88,90,13.8,US,1635414014
Saint Paul Harbor,57.79,-152.4072,36.54,84,94,5.03,US,1635414014
Puerto Ayora,-0.7393,-90.3518,67.55,95,19,3.0,EC,1635414014
Port Lincoln,-34.7333,135.8667,54.81,87,28,28.99,AU,1635414015
Fort Nelson,58.8053,-122.7002,29.79,100,90,5.75,CA,1635414015
Yining,29.0361,114.5636,66.99,62,71,2.95,CN,1635414015
Caucaia,-3.7361,-38.6531,83.07,73,40,8.05,BR,1635414016
Tàrrega,41.647,1.1396,62.15,52,0,3.02,ES,1635414016
Sangalhos,40.4868,-8.4697,65.1,44,53,5.39,PT,1635414016
Manado,1.487,124.8455,84.97,74,20,3.44,ID,1635414017
Coyhaique,-45.5752,-72.0662,48.15,81,90,3.44,CL,1635414017
The Valley,18.217,-63.0578,80.46,73,36,9.69,AI,1635414018
Talara,-4.5772,-81.2719,65.37,82,49,13.15,PE,1635414018
Ingham,42.6,-84.3833,51.57,95,90,4.61,US,1635414018
Alyangula,-13.8483,136.4192,85.87,62,20,6.91,AU,1635414019
Plastun,44.7561,136.2939,41.94,72,4,9.06,RU,1635414019
Aleksandrov Gay,50.147,48.5704,47.98,36,62,15.39,RU,1635414019
Hay River,60.8156,-115.7999,33.78,93,75,4.61,CA,1635414020
La Ronge,55.1001,-105.2842,37.65,93,90,4.61,CA,1635414020
Mazara del Vallo,37.6641,12.588,69.37,91,100,1.01,IT,1635414020
Atar,20.5169,-13.0499,82.44,41,68,6.02,MR,1635414021
Holland,42.7875,-86.1089,51.98,70,90,8.05,US,1635413941
Batemans Bay,-35.7167,150.1833,69.98,76,71,3.4,AU,1635414021
Vostok,46.4856,135.8833,35.01,79,100,4.38,RU,1635414021
Upington,-28.4478,21.2561,82.78,42,40,17.27,ZA,1635414022
Kirensk,57.7853,108.1119,27.93,48,98,6.98,RU,1635414022
Kleinmachnow,52.4,13.2333,59.05,79,0,9.22,DE,1635414022
Iralaya,15.0,-83.2333,80.15,84,83,7.27,HN,1635414023
Kitui,-1.367,38.0106,84.38,28,23,10.18,KE,1635414023
Knysna,-34.0363,23.0471,80.98,50,100,6.04,ZA,1635414023
Semenivka,52.1783,32.5818,48.22,90,100,11.72,UA,1635414024
Lewistown,40.5992,-77.5714,47.1,96,1,0.0,US,1635414024
Byron Bay,-28.65,153.6167,78.76,87,60,16.31,AU,1635414024
Jining,35.405,116.5814,63.63,51,8,2.15,CN,1635414025
Sayyan,15.1718,44.3244,67.26,17,2,9.44,YE,1635414025
Dandong,40.1292,124.3947,50.49,56,0,6.02,CN,1635414025
Delémont,47.3649,7.3445,64.13,56,11,1.19,CH,1635414026
Ginda,30.6945,78.4932,65.12,38,0,4.74,IN,1635413897
Narsaq,60.9167,-46.05,26.82,70,52,3.76,GL,1635414026
Kruisfontein,-34.0033,24.7314,82.89,34,100,8.12,ZA,1635414026
Tiksi,71.6872,128.8694,9.28,96,100,1.95,RU,1635414027
Faanui,-16.4833,-151.75,78.94,82,42,7.4,PF,1635414027
Guiratinga,-16.3494,-53.7583,73.89,86,100,3.09,BR,1635414027
Fengzhen,40.4394,113.1536,47.59,55,97,4.09,CN,1635414028
Kabanjahe,3.1001,98.4908,72.36,86,100,1.3,ID,1635414028
Strezhevoy,60.7333,77.5889,26.58,97,100,14.83,RU,1635414029
Kodinsk,58.6881,99.1844,26.51,55,62,5.91,RU,1635414029
Pozo Colorado,-23.4923,-58.7972,71.94,70,2,4.25,PY,1635414030
Miles City,46.4083,-105.8406,39.51,60,1,9.22,US,1635414030
Junnar,19.2,73.8833,81.91,38,4,9.78,IN,1635414030
Kharp,66.8014,65.8081,17.31,95,100,10.74,RU,1635414030
Venado Tuerto,-33.7456,-61.9688,66.78,47,100,9.66,AR,1635414031
Beringovskiy,63.05,179.3167,6.31,81,32,10.02,RU,1635414031
Linxia Chengguanzhen,35.6003,103.2064,52.09,51,100,3.22,CN,1635414031
Kabinda,-6.1333,24.4833,82.26,63,64,4.52,CD,1635414032
Yataity del Norte,-24.8333,-56.35,65.98,61,10,4.88,PY,1635414032
Kununurra,-15.7667,128.7333,94.98,43,62,9.22,AU,1635413882
Sheopur,25.6667,76.7,82.87,32,0,7.58,IN,1635414033
Port-Cartier,50.0334,-66.8654,33.91,69,1,7.0,CA,1635414033
Turaif,31.6725,38.6637,79.05,27,0,6.91,SA,1635414033
Neuquén,-38.9516,-68.0591,66.09,34,0,6.91,AR,1635414034
Mpika,-11.8343,31.4529,82.02,37,43,12.86,ZM,1635414034
Takoradze,4.8845,-1.7554,82.36,74,39,5.82,GH,1635414034
Pilot Butte,50.4668,-104.4178,35.78,80,1,8.05,CA,1635414035
Alofi,-19.0595,-169.9187,69.69,88,43,2.3,NU,1635414035
Şebinkarahisar,40.2883,38.4236,54.99,27,0,2.68,TR,1635414035
Palmas,-10.2128,-48.3603,75.07,94,0,4.61,BR,1635414036
Henties Bay,-22.116,14.2845,63.86,71,64,11.23,NA,1635414036
Kloulklubed,7.0419,134.2556,82.9,75,68,14.43,PW,1635414036
Aklavik,68.2191,-135.0107,27.43,97,90,5.68,CA,1635413774
Poya,-21.35,165.15,74.95,81,90,8.25,NC,1635414037
Peschanokopskoye,46.1961,41.0775,50.88,36,1,8.1,RU,1635414037
Verāval,20.9,70.3667,85.37,56,30,8.61,IN,1635414037
Desaguadero,-16.5656,-69.0417,42.51,77,23,7.23,PE,1635414038
Carndonagh,55.25,-7.2667,53.22,91,100,4.36,IE,1635414038
Avarua,-21.2078,-159.775,73.45,73,75,5.75,CK,1635414038
Olafsvik,64.8945,-23.7142,40.01,95,100,31.09,IS,1635414039
Belaya Gora,68.5333,146.4167,-2.42,98,99,2.1,RU,1635414039
Dunhua,43.3725,128.2425,39.45,61,0,3.91,CN,1635414039
Solnechnyy,50.7214,136.6319,35.29,76,2,4.18,RU,1635413858
Tommot,58.9564,126.2925,32.77,71,100,12.62,RU,1635413833
Dolinsk,47.35,142.8,46.26,97,100,21.77,RU,1635414040
Sahaswān,28.0833,78.75,81.91,31,0,3.71,IN,1635414040
Montepuez,-13.1256,38.9997,90.25,30,37,11.32,MZ,1635414040
Madona,56.8533,26.217,54.07,86,73,6.62,LV,1635414041
Conakry,9.538,-13.6773,77.07,88,75,2.3,GN,1635414041
Oktyabr'skiy,54.4815,53.471,39.69,74,100,14.16,RU,1635414041
Tegul'det,57.3064,88.1667,31.87,63,100,5.7,RU,1635414042
Karratha,-20.7377,116.8463,79.57,47,7,19.22,AU,1635414042
Saldanha,-33.0117,17.9442,66.25,68,14,13.94,ZA,1635414043
Buin,-33.7333,-70.75,64.74,65,33,2.73,CL,1635414043
Boundiali,9.5217,-6.4869,82.74,63,32,5.39,CI,1635414043
Poum,-20.2333,164.0167,75.45,82,14,9.46,NC,1635414044
Kelvington,52.1667,-103.5343,31.66,75,8,7.76,CA,1635414044
Laï,9.3952,16.2989,94.32,38,47,3.74,TD,1635414044
São Félix do Xingu,-6.6447,-51.995,73.81,85,11,0.27,BR,1635414045
Visnes,59.3556,5.2242,55.58,94,90,18.41,NO,1635414045
Aitape,-3.1374,142.3475,80.74,82,97,3.89,PG,1635414045
Gamba,-2.65,10.0,80.15,75,100,6.96,GA,1635414046
Sinegor'ye,62.0788,150.477,7.9,80,29,6.64,RU,1635414046
Eugene,44.0521,-123.0867,57.56,95,90,1.01,US,1635414046
Lavrentiya,65.5833,-171.0,13.57,74,100,7.05,RU,1635414047
Nyāmti,14.15,75.5833,80.74,56,18,5.32,IN,1635414047
Leningradskiy,69.3833,178.4167,8.35,91,100,15.1,RU,1635414048
Eyl,7.9803,49.8164,85.73,45,0,17.11,SO,1635414048
Boyolangu,-8.1181,111.8935,77.5,92,100,2.46,ID,1635414048
Pryazha,61.6926,33.6216,36.63,87,100,5.03,RU,1635414048
Innisfail,-17.5333,146.0333,75.31,77,2,2.98,AU,1635414049
Temyasovo,52.9933,58.1014,39.56,52,80,19.35,RU,1635414049
Margate,51.3813,1.3862,59.88,79,51,3.0,GB,1635414050
Avera,33.194,-82.5271,54.91,50,100,8.14,US,1635414050
Bara,10.3744,10.7288,89.38,33,65,1.79,NG,1635413897
Little Current,45.9793,-81.9248,45.41,81,9,11.41,CA,1635413772
Yeppoon,-23.1333,150.7333,78.58,81,0,10.45,AU,1635414050
Vila Velha,-20.3297,-40.2925,73.35,94,75,2.3,BR,1635413801
Killybegs,54.6333,-8.45,52.45,88,100,6.11,IE,1635414051
Naze,28.3667,129.4833,65.32,59,0,11.95,JP,1635413810
Tezu,27.9167,96.1667,76.82,65,0,0.72,IN,1635414051
Tadine,-21.55,167.8833,73.02,85,70,12.5,NC,1635413844
Touros,-5.1989,-35.4608,74.3,65,87,17.56,BR,1635414052
Itupiranga,-5.1347,-49.3267,77.32,87,8,2.91,BR,1635414052
Inhambane,-23.865,35.3833,80.58,39,40,18.41,MZ,1635414052
Pervoavgustovskiy,52.2264,35.0552,45.57,94,100,12.97,RU,1635414052
Mattru,7.6244,-11.8332,83.19,72,43,2.53,SL,1635414053
Alekseyevsk,57.8406,108.3492,28.0,48,98,7.43,RU,1635414053
